time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
77528,4.34,3.48,2.16,21,1,20,90,10,0,0,0,0,7957.8,1151.8,2374.4,4431.6,947.2,947.2,0,5273.5,0,normal
81477,1.59,2.26,2.55,21,1,20,100,0,0,0,0,0,7957.8,907.4,2595.5,4454.9,947.2,947.2,0,5052.5,0,normal
61983,4.58,138.84,251.49,21,1,20,100,0,0,0,0,0,7957.8,1057.1,2869.7,4030.9,947.2,947.2,0,4769.8,0,normal
65932,2.44,2.92,6.54,21,1,20,87.5,12.5,0,0,0,0,7957.8,575,3344.7,4038.1,947.2,947.2,0,4295.5,0,normal
85116,2.79,2.91,2.94,21,1,20,100,0,0,0,0,0,7957.8,845.2,2650.4,4462.1,947.2,947.2,0,4997.7,0,normal
71055,2.42,3.03,10.69,21,1,20,100,0,0,0,0,0,7957.8,911.8,2709.9,4336,947.2,947.2,0,4919.2,0,normal
84934,2.89,2.97,2.96,21,3,18,50,50,0,0,0,0,7957.8,844,2651.9,4461.9,947.2,947.2,0,4996.3,0,normal
9729,3.35,2.73,2.78,21,1,20,100,0,0,0,0,0,7957.8,334.8,2830.8,4792.2,947.2,947.2,0,4817.4,0,normal
70354,2.17,4.08,19.38,21,2,19,100,0,0,0,0,0,7957.8,986.6,2636.2,4334.9,947.2,947.2,0,4992.8,0,normal
35604,1.72,2.47,2.82,21,1,20,91.7,0,0,0,0,8.3,7957.8,125.3,3217,4615.4,947.2,947,0.3,4424.8,0,normal
67805,2.8,3.03,3.59,21,2,19,100,0,0,0,0,0,7957.8,539.4,3356.9,4061.5,947.2,947.2,0,4283.3,0,normal
37424,4.52,7.99,6.4,21,1,20,0,100,0,0,0,0,7957.8,795.3,3870.2,3292.2,947.2,946.5,0.8,3771.7,0,normal
79304,2.66,2.62,2.55,21,1,20,100,0,0,0,0,0,7957.8,1055.3,2451.5,4450.9,947.2,947.2,0,5196.4,0,normal
54512,2.38,10.22,26.41,21,3,18,100,0,0,0,0,0,7957.8,1065.4,2943.6,3948.8,947.2,946.7,0.5,4702.8,0,normal
34780,3.14,3.32,3.19,21,1,20,90.9,9.1,0,0,0,0,7957.8,125.8,3179.3,4652.6,947.2,947,0.3,4462.6,0,normal
5209,3.81,3.29,3.25,21,1,20,100,0,0,0,0,0,7957.8,641.2,2754.4,4562.1,947.2,947.2,0,4893.7,0,normal
